Account Name,Campaign ID,Campaign Name,Campaign Status,Ad Set Name,Ad Set ID,Ad Set Status,Website URL(s)
SML Skin,120238705094160436,ntn_tof_web_timereversal_static_reel_clp_270226,PAUSED,open_india_skin_timereversal_static_creative_270226 – Copy,120238705147520436,ACTIVE,https://studdmuffynlife.com/ | https://studdmuffynlife.com/collections/botox
SML Skin,120238705094160436,ntn_tof_web_timereversal_static_reel_clp_270226,PAUSED,open_india_skin_timereversal_mix_creative_270226,120238705120870436,ACTIVE,https://studdmuffynlife.com/ | https://studdmuffynlife.com/collections/botox
SML Skin,120238705094160436,ntn_tof_web_timereversal_static_reel_clp_270226,PAUSED,open_india_skin_timereversal_reel_clp_creative_270226,120238705094150436,ACTIVE,https://studdmuffynlife.com/collections/botox
SML Skin,120238705094160436,ntn_tof_web_timereversal_static_reel_clp_270226,PAUSED,open_india_skin_timereversal_static_creative_270226 – Copy,120238705147520436,ACTIVE,https://studdmuffynlife.com/ | https://studdmuffynlife.com/collections/botox
SML Skin,120238705094160436,ntn_tof_web_timereversal_static_reel_clp_270226,PAUSED,open_india_skin_timereversal_mix_creative_270226,120238705120870436,ACTIVE,https://studdmuffynlife.com/ | https://studdmuffynlife.com/collections/botox
SML Skin,120238705094160436,ntn_tof_web_timereversal_static_reel_clp_270226,PAUSED,open_india_skin_timereversal_reel_clp_creative_270226,120238705094150436,ACTIVE,https://studdmuffynlife.com/collections/botox
SML Skin,120238730653630436,brand_ntn_web_conv_skin_am_pm_reel_27022026,PAUSED,open_india_mix_creative_270226,120238731240110436,ACTIVE,https://studdmuffynlife.com/products/am-pm-pigmentation-combo
SML Skin,120238730653630436,brand_ntn_web_conv_skin_am_pm_reel_27022026,PAUSED,open_india_mix_creative_270226,120238730941010436,ACTIVE,https://studdmuffynlife.com/products/am-pm-pigmentation-combo
SML Skin,120238730653630436,brand_ntn_web_conv_skin_am_pm_reel_27022026,PAUSED,open_india_mix_creative_270226,120238730653620436,ACTIVE,https://studdmuffynlife.com/products/am-pm-pigmentation-combo
SML Skin,120238730653630436,brand_ntn_web_conv_skin_am_pm_reel_27022026,PAUSED,open_india_mix_creative_270226,120238731240110436,ACTIVE,https://studdmuffynlife.com/products/am-pm-pigmentation-combo
SML Skin,120238730653630436,brand_ntn_web_conv_skin_am_pm_reel_27022026,PAUSED,open_india_mix_creative_270226,120238730941010436,ACTIVE,https://studdmuffynlife.com/products/am-pm-pigmentation-combo
SML Skin,120238730653630436,brand_ntn_web_conv_skin_am_pm_reel_27022026,PAUSED,open_india_mix_creative_270226,120238730653620436,ACTIVE,https://studdmuffynlife.com/products/am-pm-pigmentation-combo
SML Skin,120238730653630436,brand_ntn_web_conv_skin_am_pm_reel_27022026,PAUSED,open_india_mix_creative_270226,120238731240110436,ACTIVE,https://studdmuffynlife.com/products/am-pm-pigmentation-combo
SML Skin,120238730653630436,brand_ntn_web_conv_skin_am_pm_reel_27022026,PAUSED,open_india_mix_creative_270226,120238730941010436,ACTIVE,https://studdmuffynlife.com/products/am-pm-pigmentation-combo
SML Skin,120238730653630436,brand_ntn_web_conv_skin_am_pm_reel_27022026,PAUSED,open_india_mix_creative_270226,120238730653620436,ACTIVE,https://studdmuffynlife.com/products/am-pm-pigmentation-combo
SML Skin,120238732988280436,ntn_tof_web_skin_tanoff_static_reel_clp_270226,PAUSED,open_india_skin_tanoff_reel_clp_creative_270226,120238732988270436,ACTIVE,https://studdmuffynlife.com/ | https://studdmuffynlife.com/collections/tan-off-glow
SML Skin,120238732988280436,ntn_tof_web_skin_tanoff_static_reel_clp_270226,PAUSED,open_india_skin_tanoff_reel_clp_creative_270226,120238732988270436,ACTIVE,https://studdmuffynlife.com/ | https://studdmuffynlife.com/collections/tan-off-glow
SML Skin,120238891327150436,ntn_adv_web_skin_timereversal_mix_030326,ACTIVE,open_india_skin_timereversal_mix_creative_030326,120238892342760436,ACTIVE,https://studdmuffynlife.com/collections/botox
SML Skin,120238891327150436,ntn_adv_web_skin_timereversal_mix_030326,ACTIVE,open_india_skin_timereversal_mix_creative_030326,120238891327130436,ACTIVE,https://studdmuffynlife.com/collections/botox
SML Skin,120239008178430436,ntn_adv_web_skin_tanoff_reel_050326,PAUSED,open_india_skin_mix_creative_050326,120239008626120436,ACTIVE,https://studdmuffynlife.com/ | https://studdmuffynlife.com/collections/tan-off-glow
SML Skin,120239008178430436,ntn_adv_web_skin_tanoff_reel_050326,PAUSED,open_india_skin_mix_creative_050326,120239008178550436,ACTIVE,https://studdmuffynlife.com/ | https://studdmuffynlife.com/collections/tan-off-glow
SML Skin,120239008681640436,ntn_adv_web_skin_pitglow_reel_050326,PAUSED,open_india_skin_mix_creative_050326,120239008681610436,ACTIVE,https://studdmuffynlife.com/collections/pitglow-1
